ca,de
"Una petxina a la part inferior uneix dues branques d”olivera simètriques.
","Am unteren Ende vereint eine Muschel zwei symmetrische Olivenzweige.
"
"Les bandes locals actuen en directe al recinte.
","Am Veranstaltungsort treten lokale Live-Bands auf.
"
"Al llac Vidraru, la gent pot practicar l'esport extrem de salt de pont.
","Am Vidraru-See können die Menschen den Extremsport Bungee-Springen ausüben.
"
"El quart dia es va dedicar a la posada en escena de cinc comèdies.
","Am vierten Tag ging es um die Aufführung von fünf Komödien.
"
"El catorzè dia s'organitza una desfilada en què es deixen anar llanternes d'aigua.
","Am vierzehnten Tag wird eine Parade zur Freigabe der Wasserlaternen abgehalten.
"
"La vigília de la festivitat es visiten i s’arrangen les tombes dels familiars.
","Am Vorabend des Feiertags besucht und pflegt man die Gräber der Verwandten.
"
"Ell havia patit un atac de cor el dia anterior.
","Am vorhergehenden Tag hatte er einen Herzinfarkt.
"
"Al litoral, al refugi de Coasters, hi ha un gravat aborigen d'un dofí.
","Am Vorufer des Coasters Retreats befindet sich eine Aborigines-Schnitzerei eines Delfins.
"
"La nit electoral es va col·locar segon darrere el guanyador Francine Charbonneau dels Liberals.
","Am Wahlabend wurde er Zweiter hinter Francine Charbonneau von den Liberalen.
"
"Hazael és el més probable que l'hagi escrit.
","Am wahrscheinlichsten ist, dass Hazael es geschrieben hat.
"
"Warren College té diverses organitzacions d’estudiants.
","Am Warren College gibt es verschiedene Studentenorganisationen.
"
"També hi havia drassanes de construcció i reparació de vaixells en la línia de costa.
","Am Wasser gab es auch Schiffbau- und Reparaturwerften.
"
"El dia de Nadal el ""News-Sentinel"" va informar que el teatre estava abocant formigó.
","Am Weihnachtstag berichtete der „News-Sentinel“, dass das Theater Beton gießt.
"
"El cuc es va estendre majoritàriament amb la variant ""Sobig.F"".
","Am weitesten verbreitet war der Wurm in seiner „Sobig.F“-Variante.
"
"Les aiguavessants de l'oest agafen la comunitat de Idyllwild.
","Am Westhang liegt die Gemeinde Idyllwild.
"
"A l’extrem occidental hi ha el llogaret de Grangemill.
","Am westlichen Ende befindet sich das Dörfchen Grangemill.
"
"Cap a l'extrem occidental de Seaford Bay es troba Newhaven i el Seaford Sailing Club.
","Am westlichen Ende der Seaford Bay liegen Newhaven und der Seaford Sailing Club.
"
"Es pot observar algun sediment entrant a l'extrem occidental del llac.
","Am westlichen Ende des Sees kann man einige Sedimente sehen, die in den See eindringen.
"
"El Kinchega National Park es troba a la zona limítrof oest de la ciutat.
","Am westlichen Rand der Stadt liegt der Kinchega-Nationalpark.
"
"Als costats oest i nord de l'illa hi ha algunes platgetes rocoses.
","Am westlichen und nördlichen Ende der Insel befinden sich kleine Felsstrände.
"
"La platja oest té algunes escoles de surf i també una zona nudista.
","Am Weststrand gibt es eine Reihe von Surfschulen und auch eine FKK-Abteilung.
"
"A la costa oest es troba el districte històric conegut com Les Roques.
","Am Westufer befindet sich der historische Stadtteil The Rocks.
"
"El més important és que les cistes estan adornades amb petròglifs.
","Am wichtigsten ist, dass die Zisternen mit Felsmalereien verziert sind.
"
"Va estudiar al Williams College i al Seminari teològic d'Auburn.
","Am Williams College und am Auburn Theological Seminary studierte er.
"
"A les universitats de Winchester i l’Eton, hi ha una casa separada per als becaris de la fundació.
","Am Winchester College und am Eton College gibt es ein separates Haus für Stiftungsstipendiaten.
"
"Les classes no es reuneixen els caps de setmana.
","Am Wochenende finden keine Kurse statt.
"
"El cap de setmana, a excepció dels entrenaments militars, els estudiants estan lliures.
","Am Wochenende haben die Schüler abgesehen von militärischem Training weitgehend frei.
"
"Altres parelles i persones s'hi sumaven els caps de setmana.
","Am Wochenende kamen weitere Paare und Persönlichkeiten hinzu.
"
"L’aparcament és gratuït els caps de setmanes i festius.
","Am Wochenende und an Feiertagen kann man kostenlos parken.
"
"Per al servei dels caps de setmana només es fa servir un tren, que fa tres viatge d'anada i tornada al dia.
","Am Wochenende wird nur ein Zug eingesetzt; dieser fährt täglich dreimal hin und zurück.
"
"Va seguir retransmetent els programes de Fox Kids els diumenges pel matí.
","Am Wochenende wurde auch weiterhin morgens das Fox-Kids-Programm ausgestrahlt.
"
"Estan en la seva més tendra i sucosa a la primavera.
","Am zartesten und saftigsten sind sie im Frühling.
"
"Portava un anell al dit índex.
","Am Zeigefinger trug er einen Ring.
"
"A Tongue End s’uneixen les aigües de Bourne Eau.
","Am Zungenende vereinigen sich die Gewässer der Bourne Eau.
"
"La segona nit va veure com David Gilmour s’unia a ells a l’escenari per actuar.
","Am zweiten Abend trat David Gilmour mit ihnen auf.
"
"El segon cap de setmana d'agost, Kleefeld celebra el seu Honey Festival anual.
","Am zweiten Augustwochenende findet in Kleefeld das jährliche Honigfest statt.
"
"El segon dia dels atacs, semblava que l’operació seria un èxit.
","Am zweiten Tag der Angriffe zeigte sich, dass die Operation erfolgreich sein würde.
"
"El segon dia, només la meitat dels tancs seguien funcionant.
","Am zweiten Tag war nur die Hälfte der Panzer noch betriebsfähig.
"
"Amadou, fill d'immigrants malians, n'és testimoni i s'enfronta a Jean.
","Amadou, das Kind von Einwanderern aus Mali, wird Zeuge davon und konfrontiert Jean.
"
"Amalia se sorprèn perquè gaudeix de la conversa amb Georg.
","Amalia ist überrascht, dass sie ihr Gespräch mit Georg genießt.
"
"L'obsessió d'Amalric era prendre Egipte, després d'haver intentat primer fer-se amic de la nació.
","Amalric war davon besessen, Ägypten zu erobern, nachdem er zuerst versucht hatte, sich mit der Nation anzufreunden.
"
"Amalthea té diversos punts brillants destacats, dos dels quals s’esmenten.
","Amalthea hat mehrere markante Lichtpunkte, von denen zwei genannt werden.
"
"Amanat va denunciar anteriorment Tuzman per incompliment de contracte.
","Amanat hat Tuzman zuvor wegen angeblicher Vertragsverletzung verklagt.
"
"A Amanda no li agrada aquesta broma, per això comença una lluita a tres bandes.
","Amanda ist wütend angesichts des Streichs und es kommt zu einem Dreierkampf.
"
"Amanda Lucas és la filla de George i Marcia Lucas.
","Amanda Lucas ist die Tochter von George und Marcia Lucas.
"
"L'Amanda visita en Preston a l'estació i li pregunta per la carta.
","Amanda sucht Preston am Bahnhof auf und fragt ihn nach dem Brief.
"
"""Amar Akbar Anthony"" va ser la primera pel·lícula de Desai com a productor cinematogràfic independent.
","„Amar Akbar Anthony“ war Desais erster Film als unabhängiger Filmproduzent.
"
"Amar Jaleel és un polemista destacat en contra de la Lliga Musulmana de l'Índia.
","Amar Jaleel ist ein prominenter Polemiker, der sich gegen die All-India Muslim League ausspricht.
"
"Amarant viu d'acord amb un codi molt dur que diu que “només els forts sobreviuen”.
","Amarant lebt gemäß einem rauen Motto, nach dem „nur die Starken überleben“.
"
"Amaranth està organitzat en Tribunals, amb un Gran Tribunal a nivell estatal.
","Amaranth ist in Gerichte organisiert, auf Staatsebene gibt es Grand Courts.
"
"Amaravathi gram panchayat és l’autogovern local de la ciutat.
","Amaravathi gram panchayat ist die lokale Selbstverwaltung des Dorfes.
"
"""Amaravati"" en l'antic idioma budista de Pali significa ""regne sense mort"".
","„Amaravati“ bedeutet in der antiken buddhistischen Sprache von Pali „todloses Reich“.
"
"Amaterasu fuig cap a la cova celestial Amano-Iwato.
","Amaterasu floh in die himmlische Höhle Amano-Iwato.
"
"Amateur Champions va ser més alt.
","Amateur Champions war höher.
"
"Es va obrir Amateur a tots els aficionats, fossin o no membres del club.
","Amateur wurde allen Amateuren zugänglich gemacht, unabhängig davon, ob sie Clubmitglieder waren oder nicht.
"
"Amateur es va jugar en els camps de l'est i de l'oest.
","Amateur wurde sowohl auf dem Ost- als auch auf dem Westplatz gespielt.
"
"Campió amateur DaVarryl Williamson.
","Amateur-Meister DaVarryl Williamson.
"
"El Campionat Amateur, que va ser guanyat per Tiger Woods.
","Amateurmeisterschaft, die von Tiger Woods gewonnen wurde.
"
"d'Aficionats i Sandy Herd al campionat obert el juny.
","Amateurmeisterschaften und Sandy Herd bei den offenen Meisterschaften im Juni.
"
"Els aficionats avancen a través de la classificació per seccions, i uns quants jugadors estan exempts cada any.
","Amateur-Vorstöße durch die Sektionsqualifikation, einige wenige Spieler sind jedes Jahr davon ausgenommen.
"
"En l'actualitat, l'amatol és un explosiu que es troba en poques ocasions, excepte en les municions heretades o en els artefactes sense explotar.
","Amatol ist heute selten, außer in Form von veralteter Munition oder nicht explodierten Kampfmitteln.
"
"Amatzia, Israel es diu així en el seu honor.
","Amatzia in Israel ist nach ihm benannt.
"
"Amayenge es considera una de les millors bandes de kalindula dels últims vint anys.
","Amayenge gilt als eines der besten Kalindula-Bänder der letzten zwanzig Jahre.
"
"Amazo perd els seus poders quan Superman dissol oficialment la lliga.
","Amazo verliert an Kraft, als Superman die Liga offiziell verteilt.
"
"Amazon és conegut per conservar informació abundant sobre les transaccions dels clients.
","Amazon bewahrt bekanntlich umfangreiche Daten seiner Kunden auf.
"
"Ambalika i la seva germana van passar set anys a la companyia del seu marit.
","Ambalika und ihre Schwester haben sieben Jahre in der Firma ihres Mannes verbracht.
"
"Ambati va expressar que no li agradava que ho comparessin amb Doogie Howser, el mèdic adolescent fictici.
","Ambati machte deutlich, dass er nicht gerne mit der fiktiven Teenager-Arzt-Figur Doogie Howser verglichen werden möchte.
"
"Ambati va néixer a Vellore i Tamil Nadu va néixer al sud de l”Índia.
","Ambati wurde in Vellore, Tamil Nadu in Südindien geboren.
"
"Ambedkar Open University of Hyderabad, per les seves contribucions a la literatura Telugu.
","Ambedkar Open University of Hyderabad, für ihre Beiträge zur Telugu-Literatur.
"
"Universitat Oberta d’Ambedkar.
","Ambedkar Open University.
"
"“L'església d'Amberley: una valoració crítica”, de Nigel Foxell.
","Amberley Church - A Critical Appreciation von Nigel Foxell.
"
"""Ambition of the Illuminus"" és una continuació directa de ""Phantasy Star Universe"".
","„Ambition of the Illuminus"" ist die direkte Fortsetzung von „Phantasy Star Universe"".
"
"Ambleside és un punt de trobada per al senderisme, el muntanyisme i el ciclisme de muntanya.
","Ambleside ist ein Ausgangspunkt für Wanderungen, Bergtouren und Mountainbiking.
"
"Amboy és essencialment una comunitat grangera.
","Amboy ist im Wesentlichen eine bäuerliche Gemeinschaft.
"
"Ambrose va acabar novè en aquella carrera.
","Ambrose belegte in dem Rennen den neunten Platz.
"
"Ambrose és la tercera líder dona del partit conservador del Canadà.
","Ambrose ist die dritte weibliche Vorsitzende von Kanadas konservativen Partei.
"
"Ambrose era el pare de Bernardo O'Higgins, líder de l’emancipació sud-americana.
","Ambrose war der Vater von Bernardo O'Higgins, dem Anführer der südamerikanischen Emanzipationsbewegung.
"
"Per tant, els ambulocètids representen la fase de transició dels avantpassats dels cetacis entre l'aigua dolça i l'hàbitat marí.
","Ambulanztierchen stellen somit die Übergangsphase der Vorfahren der Wale zwischen Süßwasser und marinem Lebensraum dar.
"
"L'ambulocetus va ser descrit com a amfibi, però estudis posteriors suggereixen que era totalment aquàtic.
","Ambulocetus wird als amphibisch dargestellt; spätere Studien lassen jedoch darauf schließen, dass es vollständig aquatisch war.
"
"Amburn viu a High Springs, Florida, als afores de Gainesville i a Tifton, Geòrgia.
","Amburn lebt outside of Gainesville in High Springs, Florida, and Tifton, Georgia.
"
"Amedeo no sabia parlar anglès.
","Amedeo sprach kein Englisch.
"
"Amedeo era un home molt alt.
","Amedeo war ein sehr großgewachsener Mann.
"
"A-mei va néixer en una família de Puyuma, a Beinan, Taitung, Taiwan.
","A-mei wurde in einer Puyuma-Familie in Beinan, Taitung, Taiwan geboren.
"
"Ant era el seu padrí de noces.
","Ameise war sein bester Mann.
"
"Que les formigues tornin a la colònia anima les altres a sortir a cercar menjar.
","Ameisen, die zur Kolonie zurückkehren, regen die ausgehende Nahrungssuche an.
"
"Cal evitar les formigues, perquè fan que el jugador perdi força.
","Ameisen müssen vermieden werden, da sie den Spieler zwingen, an Kraft zu verlieren.
"
"Les formigues són l'aliment favorit de la gralla de bec vermell.
","Ameisen sind eine bevorzugte Nahrungsquelle der Rotschnabelkrähe.
"
"Amelia Court House es trobava a l'oest.
","Amelia Court House lag im Westen.
"
"L’Amelia acull l’Evelyn sota la seva ala perquè li faci companyia.
","Amelia nimmt Evelyn unter ihre Fittiche und stellt sie als Partnerin ein.
"
"Amelia Vega va ser coronada a Panamà.
","Amelia Vega wurde in Panama gekrönt.
"
"Amen a això.
","Amen dazu.
"
"“Amén”, va dir la tia Dahlia.
","„Amen“, sagte Tante Dahlia.
"
"Amén.
","Amen.
"
"Actualment, Amend viu a Kansas City, Missouri, amb la seva dona i els seus dos fills.
","Amend lebt zurzeit mit seiner Frau und seinen zwei Kindern in Kansas City, Missouri.
"
"Amendola va néixer a Nàpols.
","Amendola wurde in Neapel geboren.
"
"“Ament” prové del mot llatí “amentum”, que significa “tira” o “corretja”.
","„Ament“ leitet sich von dem lateinischen Wort „amentum“ ab und bedeutet „Tanga“ oder „Riemen“.
"
"«America, una profecia» és també una de les «obres profètiques».
","„America a Prophecy“ ist auch eins der „prophetischen Werke“.
"
"America Votes no va revelar els seus contribuents.
","America Votes gibt seine Spender nicht bekannt.
"
"Els Bobtails americans és una raça molt forta, amb pelatge curt i llarg.
","American Bobtails sind eine sehr robuste Hunderasse, die sowohl mit Kurzhaar- als auch mit Langhaarfell vorkommt.
"
"American Girl Place és una botiga que ven nines American Girl, roba i accessoris.
","American Girl Place ist ein Geschäft, in dem Puppen, Kleidung und Zubehör von American Girl verkauft werden.
"
"""American Idiot"" no té límits, es formidable.
","„American Idiot“ kennt keine Grenzen – es ist ein universeller K.-o.-Schlag.
"
"American International Pictures es va retirar, la qual cosa va interrompre la filmació.
","American International Pictures zog sich zurück und stellte die Dreharbeiten ein.
"
"American Manufacturing Company, una operació també propietat de Milo i Jacques Revah.
","American Manufacturing Company, ein Betrieb, der sich ebenfalls im Besitz von Milo und Jacques Revah befindet.
"
"El nord-americà Pharoah va completar la gesta en una decisiva victòria de pal a pal.
","American Pharoah vollendete die Bravourleistung in einem entscheidenden Start-Ziel-Sieg.
"
"Les danses amb ritmes americans inclouen el txa-txa-txa, la rumba, el bolero, el swing i el mambo.
","American Rhythm Dance umfasst die Tänze Cha Cha, Rumba, Bolero, Swing und Mambo.
"
"El Windsor americà no es va vendre al Canadà, tot i que sí que es van importar Windsor familiars.
","American Windsor wurde in Kanada nicht verkauft, obwohl Windsor-Güterwagen importiert wurden.
"
"AmericanApparel.net és el centre de vendes de comerç electrònic de l’empresa.
","AmericanApparel.net ist das E-Commerce-Vertriebszentrum des Unternehmens.
"
"Àrbitre de futbol americà, àrbitre d'hoquei sobre gel.
","American-Football-Funktionär, Eishockey-Funktionär.
"
"Amerigo Vespucci porta el nom de Sant Emeric d'Hongria.
","Amerigo Vespucci wurde nach dem Heiligen Emmerich von Ungarn benannt.
"
"Amèrica, la bella, tan representada per aquest dolç escenari illenc.
","Amerika, das Schöne, verkörpert durch diese Candy-Insel-Szene.
"
"Amèrica tampoc no es va posicionar en la brutal guerra civil espanyola.
","Amerika ergriff auch im brutalen Spanischen Bürgerkrieg nicht Partei.
"
"Amèrica i és vicepresident de la Foundation for the National Institutes of Health.
","Amerika und ist stellvertretender Vorsitzender der Foundation for the National Institutes of Health.
"
"Els americans han descrit als Pulahanes com a lluitadors notoris i són experts en el combat cos a cos.
","Amerikaner haben die Pulahanes als berüchtigte Kämpfer beschrieben, die Experten im Nahkampf sind.
"
"Recentment, els estatunidencs han tendit a rebutjar les seves invitacions.
","Amerikaner haben in den letzten Zeiten ihre Einladungen eher abgelehnt.
"
"Els nord-americans es van assabentar que els Red Sticks estaven portant armes de Florida.
","Amerikaner lernten, dass die Red Sticks die Waffen aus Florida zurückbrachten.
"
"Als americans els encanta tenir barbacoa.
","Amerikaner lieben das Grillen.
"
"Però els americans han d'entendre-ho o provocaran que passi de manera involuntària.
","Amerikaner müssen es aber verstehen, andernfalls werden sie dies versehentlich verursachen.
"
"Els nord-americans diuen “aluminum”, els britànics “aluminium”.
","Amerikaner sagen „aluminum“, Britten sagen „aluminium“
"
"Els nord-americans diuen gasolina i els britànics diuen benzina.
","Amerikaner sagen „Gasoline“ und die Briten sagen „Petrol“.
"
"«Als americans els agrada parlar de la importància dels valors familiars», va dir Rodríguez.
","„Amerikaner sprechen gerne über die Bedeutung von Familienwerten“, sagte Rodriguez.
"
"Els americans també estan dotats d'un sentit de la moral excepcional.
","Amerikaner verfügen außerdem über einen außergewöhnlichen Sinn für Moral.
"
"Els jueus americans de Bukhara parlen bukhari, un dialecte persa i rus.
","Amerikanische bukharische Juden sprechen Bukhori, einen persischen Dialekt, und Russisch.
"
"Els espectacles de burlesque nord-americans van ser originalment una branca del burlesque victorià.
","Amerikanische Burlesquen gingen ursprünglich aus ihren viktorianischen Pendants hervor.
"
"La perca groga, la perca americana de boca petita, l'Esox niger i el lluç de riu habiten les aigües.
","Amerikanische Flussbarsche, Schwarzbarsche, Zander und Hechte leben in den Gewässern.
"
"S'envien míssils nord-americans com a resposta.
","Amerikanische Raketen werden als Reaktion abgeschossen.
"
"Els soldats americans van utilitzar el terme «eco negre» per descriure les condicions dels túnels.
","Amerikanische Soldaten benutzten den Begriff „Black Echo“, um die Bedingungen in den Tunneln zu beschreiben.
"
"Les forces americanes van capturar eventualment l´illa durant la batalla de Biak.
","Amerikanische Streitkräfte eroberten die Insel schließlich während der Schlacht um Biak.
"
"Els natius nord-americans que parlen xoixon ocupen regions de Wyoming, Utah, Nevada i Idaho.
","Amerikanische Ureinwohner, die die Shoshoni-Sprache sprechen, leben in Gebieten in Wyoming, Utah, Nevada und Idaho.
"
"L’elodea nord-americana és una part important dels ecosistemes dels llacs.
","Amerikanisches Wassergras ist ein wichtiger Bestandteil der Seeökosysteme.
"
"Ames també va interpretar al malvat germà bessó de Mingo, Taramingo, en «My Brother's Keeper».
","Ames porträtierte in „My Brother's Keeper“ auch Mingos bösen Zwillingsbruder Taramingo.
"
"Ames no va tenir tant èxit en aquests càrrecs més elevats.
","Ames war nicht so erfolgreich in seinen Versuchen, ein höheres Office zu gewinnen.
"
"A la zona són habituals les ametistes i els fòssils marins.
","Amethyst und Meeresfossilien kommen in der Gegend häufig vor.
"
"Amichai es va casar dues vegades.
","Amichai war zweimal verheiratet.
"
"Nascut a Kansas City, Missouri, Amick va morir a Crystal River, Florida.
","Amick wurde in Kansas City, Missouri, geboren und starb in Crystal River, Florida.
"
"Amin Majaj era metge i funcionari públic.
","Amin Majaj war Arzt und öffentlich Bediensteter.
"
"Amin no només era actiu a Àfrica, sinó també a l'Orient Mitjà.
","Amin war nicht nur in Afrika, sondern auch im Nahen Osten aktiv.
"
"Aminet també il·lustra l'ús pràctic de l'esquema de metadades per part dels repositoris de programari.
","Aminet veranschaulicht auch die praktische Anwendung des Metadatenschemas durch Software-Repositorien.
"
"Els aminoàcids són increïblement complexos.
","Aminosäuren sind sehr komplex.
"
"Els reactius de biotinilació d'amines es poden dividir en dos grups basats en la solubilitat de l'aigua.
","Aminreaktive Biotinisierungsreagenzien können basierend auf der Wasserlöslichkeit in zwei Gruppen unterteilt werden.
"
"Els guardaespatlles de Rabin van detenir immediatament a Amir.
","Amir wurde sofort von Rabins Leibwächtern ergriffen.
"
"“Amira, felicitats per haver-te graduat am un summa cum laude”.
","„Amira, herzlichen Glückwunsch zum summa cum laude-Abschluss“.
"
"Amira és filla de pare kurd i d’una cantant d’òpera russa.
","Amira ist die Tochter eines kurdischen Vaters und einer russischen Opernsängerin.
"
"Amis va ocupar la Càtedra Internacional de Vents a la Reial Acadèmia de Música de Londres.
","Amis hatte den Internationalen Lehrstuhl für Blechbläser an der Royal Academy of Music in London inne.
"
"L”Amis és un nomenclàtor consistentment meditat.
","Amis ist ein durchweg sorgfältiger Nomenklator.
"
"Amis va fer el paper de Lizzy Calvert, la neta de Rose, a ""Titanic"".
","Amis spielte die Rolle von Lizzy Calvert, Roses Enkelin, in „Titanic“.
"
"Amis va fer declaracions contradictòries sobre si això acabaria sent una novel·la o un relat curt.
","Amis war unstimmig, ob dies zu einem Roman oder einer Kurzgeschichte führen würde.
"
"Els carruatges dels amish es barregen amb els automòbils per la ruta.
","Amische Kutschen mischen sich mit Kraftfahrzeugen durch den Korridor.
"
"Amisk és Cree per a Beaver i així l'origen del nom.
","Amisk ist Cree für Biber und somit der Namensgeber.
"
"«Amma» significa «mare».
","„Amma“ bedeutet Mutter.
"
"Amma Caitlin Turner és una missionera itinerant a tot el sud-est dels Estats Units.
","Amma Caitlin Turner ist eine reisende Missionarin im Südosten der Vereinigten Staaten.
"
"Ammar inclou a Wadih El Safi i Umm Kulthum com els seus principals inspiracions musicals.
","Ammar schließt Wadih El Safi & Umm Kulthum als seine wichtigsten musikalischen Inspirationen ein.
"
"El soci d’Ammiano durant molts anys va ser Tim Curbo, un company mestre d’escola.
","Ammianos langjähriger Partner war Tim Curbo, ein Lehrerkollege.
"
"La planta absorbeix els ions d'amoni mitjançant els transportadors d'amoni.
","Ammoniumionen werden von der Pflanze über Ammoniumtransporter absorbiert.
"
"El persulfat d”amoni és un ingredient estàndard al blanquejador de cabells.
","Ammoniumpersulfat ist eine Standardkomponente von Haarbleichmitteln.
"
"Amnèsic i desorientat, el personatge prova d'entendre quina és la seva veritable identitat.
","Amnesiekrank und desorientiert versucht die Figur zu verstehen, was ihre wahre Identität ist.
"
"Amnistia Internacional va demanar el seu alliberament.
","Amnesty International forderte seine Freilassung.
"
"Amnistia Internacional va utilitzar la paraula «tortura» per descriure el tractament al centre de detenció.
","Amnesty International verwendet den Begriff „Folter“ um die Behandlung in dem Gefangenenlager zu beschreiben.
"
"Posteriorment van castrar a Amnesty i no va tenir cap en el semental.
","Amnesty wurde später kastriert und hatte keinen Einfluss in dem Gestüt.
"
"Amon va conduir un Toyota Prius per a l’esdeveniment.
","Amon fuhr einen Toyota Prius zur Veranstaltung.
"
"Amor rep el nom del déu romà de l'amor, més conegut com Cupido.
","Amor ist nach dem römischen Gott der Liebe benannt, auch bekannt als Cupido.
"
"Amorebieta-Etxano està situat entre muntanyes escarpades i té un ric patrimoni històric.
","Amorebieta-Etxano liegt inmitten von felsigen Bergen und weist ein großes geschichtliches Erbe auf.
"
"L’amoxicil·lina està disponible com a medicament genèric.
","Amoxicillin ist als Generikum erhältlich.
"
"Al solar de la fàbrica es va construir una urbanització privada d'alta densitat, Amoy Gardens.
","Amoy Gardens, eine private Wohnsiedlung mit hoher Dichte, wurde auf dem Fabrikgelände gebaut.
"
"Amp Energy Original conté taurina, vitamines B, guaranà, ginseng i maltodextrina.
","Amp Engery Original enthält Taurin, B-Vitamine, Guarana, Ginseng und Maltodextrin.
"
"L'Amparo compon i la Cristina escriu la lletra.
","Amparo komponierte und Cristina schrieb den Text.
"
"Amp´d va indicar la seva intenció de liquidar els seus actius.
","Amp'd deutete an, seine Vermögenswerte zu veräußern.
"
"Els semàfors ajuden a evitar accidents a les cruïlles.
","Ampeln sorgen dafür, dass wir Zusammenstöße an Kreuzungen vermeiden.
"
"“Ampelomyces quisqualis” és un fong anamòrfic hiperparàsit del míldiu granulat.
","""Ampelomyces quisqualis“ ist ein Telemorph, der Hyperparasit echter Mehltaupilze ist.
"
"Ampex i Digital van acordar utilitzar un recobriment.
","Ampex und Digital entschieden sich für die Beschichtung.
"
"Els amfibis i els peixos no són amniotes.
","Amphibien und Fische sind von der Amniota ausgeschlossen.
"
"Es considerava que Amphinomus era el demandant amb millor comportament.
","Amphinomos galt als der Seemann mit den besten Manieren.
"
"L'amplexus es dóna en les quatre espècies de limúlids.
","Amplexus kommt bei allen vier Arten der Pfeilschwanzkrebse vor.
"
"L'amplitud i fase de la densitat de corrent varia amb la profunditat.
","Amplitude und Phase der Stromdichte variieren mit der Tiefe.
"
"Amshuverma havia escrit un llibre de gramàtic en sànscrit.
","Amshuverma hat ein Buch über Grammatik in Sanskrit geschrieben.
"
"Amstell també actua com a còmic en directe.
","Amstell trat auch als Stand-up-Komiker auf.
"
"Per molts arquitectes estrangers, Amsterdam era la ""Mecca"" de les noves extensions de la ciutat.
","Amsterdam war für viele ausländische Architekten das „Mekka“ für neue Stadterweiterungen.
"
"L'actual alcaldessa és Rosemarie M. Wolford.
","Amtierende Bürgermeisterin ist Rosemarie M. Wolford.
"
"L'actual alcalde és en Bill Martin.
","Amtierender Bürgermeister ist Bill Martin.
"
"L'alcalde actual és Leonard Reed.
","Amtierender Bürgermeister ist Leonard Reed.
"
"L'alcalde actual és Tony Vauss.
","Amtierender Bürgermeister ist Tony Vauss.
"
"Amtrak va avaluar la línia com la pitjor de la nació.
","Amtrak bewertete die Strecke als die schlechteste im ganzen Land.
"
"Amtrak, el sistema nacional de trens de passatgers, dona servei a Newbern-Dyesburg.
","Amtrak, das nationale Passagierzugunternehmen, verkehrt nach Newbern-Dyersburg.
"
"Amtrak també va afegir un cotxe llit als vagons.
","Amtrak fügte dem Zugteil auch einen Slumbercoach-Schlafwagen hinzu.
"
"El ""Sunset Limited"" i el ""Texas Eagle"" d'Amtrak passen per la ciutat sense parar.
","Amtraks „Sunset Limited“ und „Texas Eagle“ durchqueren die Stadt, ohne anzuhalten.
"
"El titular és el Rnd. Charles Robertson.
","Amtsinhaber ist Reverend Charles Robertson.
"
"Els candidats titulars i el govern tenen avantatges significatius en comparació amb els no titulars.
","Amtsinhaber und Mitglieder der Regierung haben erhebliche Vorteile im Vergleich zu Nicht-Amtsinhabern.
"
"Els responsables de les trobades universitàries d’una fraternitat, en la seva majoria tenen títols derivats de la Roma imperial.
","Amtsträger in studentischen Chaptern haben meist Titel, die sich aus dem kaiserlichen Rom ableiten.
"
"Amundsen es dirigia, de fet, cap al Pol Sud.
","Amundsen machte sich tatsächlich auf den Weg in Richtung Südpol.
"
"Amundsen i la seva tripulació van tornar a Noruega amb un vaixell comercial.
","Amundsen und seine Mannschaft reisten mit einem Handelsschiff zurück nach Norwegen.
"
"Amurri Martino és resident de Pound Ridge, Nova York des de fa molt temps.
","Amurri Martino ist ein langjähriger Einwohner von Pound Ridge, New York.
"
"Fins i tot amb l’auge industrial, Amurrio va seguir sent una zona agrícola.
","Amurrio blieb auch nach dem industriellen Aufschwung ein landwirtschaftliches Gebiet.
"
"Curiosament, la paraula “Britannia” està mal escrita al títol oficial.
","Amüsanterweise ist das Wort „Britannia“ im offiziellen Titel falsch geschrieben.
"
"""Sallie J. en té quatre"", va començar l’Amy.
","Amy begann: „Sallie J. hat vier“.
"
"Amy resol salvar-lo.
","Amy beschließt, ihn zu retten.
"
"L'Amy té una germana més petita.
","Amy hat eine jüngere Schwester.
"
"L'Amy és un geni en la recerca.
","Amy ist ein Genie in der Forschung.
"
"Amy Jennings en les dues pel·lícules d’«Eagle One».
","Amy Jennings in den beiden „Eagle One“-Filmen.
"
"Amy Walter és l’editora nacional.
","Amy Walter dient als nationale Redakteurin.
"
"Amy era filla del vicari de l'església de Saint Stephen, Spring Street, Hull.
","Amy war die Tochter des Vikars der Saint Stephen‘s Church, Spring Street, Hull.
"
"Amy involucra a Willow, fent-la addicta a la màgia negra.
","Amy zieht Willow mit hinein, was dazu führt, dass sie süchtig nach schwarzer Magie wird.
"
"Amyntas va colpejar monedes de plata bilingües amb una varietat de retrats.
","Amyntas war auf zweisprachigen Silbermünzen mit einer Vielzahl von Porträts geprägt.
"
"En els llocs on la fila corria costa amunt, les mules ajudaven els cotxes a pujar algunes costes.
","An Abschnitten, an denen die Strecke bergauf verlief, zogen Maultiere die Waggons die Hänge hoch.
"
"Totes les habitacions del pis de baix: Hola!
","An alle Räume im Erdgeschoss - Hallo!
"
"La «Ballantinia antipoda» s’ha extingit en tots els altres llocs documentats a Victoria.
","An allen anderen dokumentierten Fundorten in Victoria ist die Ballantinia antipoda inzwischen ausgestorben.
"
"Hi ha banys secs ecològics als tres campaments.
","An allen drei Campingplätzen gibt es Komposttoiletten.
"
